iter	Passed	Remaining
672	897	436
673	898	434
674	899	433
675	900	431
676	902	430
677	903	428
678	904	427
679	905	426
680	906	424
681	907	423
682	909	421
683	910	420
684	911	419
685	912	417
686	913	416
687	914	414
688	916	413
689	917	412
690	918	410
691	920	409
692	921	408
693	922	406
694	924	405
695	925	404
696	927	403
697	929	402
698	930	400
699	932	399
700	934	398
701	936	397
702	937	396
703	939	394
704	940	393
705	941	392
706	943	390
707	945	389
708	948	389
709	950	388
710	951	386
711	952	385
712	953	384
713	955	382
714	956	381
715	957	379
716	958	378
717	960	377
718	961	375
719	962	374
720	964	373
721	965	371
722	967	370
723	968	369
724	969	367
725	971	366
726	972	365
727	973	363
728	975	362
729	976	361
730	977	359
731	978	358
732	980	356
733	981	355
734	982	354
735	983	352
736	985	351
737	986	350
738	987	348
739	988	347
740	989	345
741	990	344
742	992	343
743	993	341
744	994	340
745	995	339
746	997	337
747	998	336
748	999	334
749	1000	333
750	1001	332
751	1002	330
752	1004	329
753	1005	327
754	1006	326
755	1007	325
756	1008	323
757	1010	322
758	1011	321
759	1012	319
760	1014	318
761	1015	317
762	1016	315
763	1017	314
764	1018	312
765	1020	311
766	1021	310
767	1022	308
768	1024	307
769	1025	306
770	1026	304
771	1028	303
772	1029	302
773	1030	300
774	1031	299
775	1032	298
776	1033	296
777	1034	295
778	1035	293
779	1037	292
780	1038	291
781	1039	289
782	1041	288
783	1042	287
784	1043	285
785	1044	284
786	1045	283
787	1046	281
788	1047	280
789	1050	279
790	1051	277
791	1052	276
792	1053	274
793	1054	273
794	1055	272
795	1056	270
796	1057	269
797	1059	268
798	1060	266
799	1061	265
800	1062	263
801	1063	262
802	1064	261
803	1065	259
804	1066	258
805	1067	256
806	1068	255
807	1069	254
808	1070	252
809	1072	251
810	1072	250
811	1073	248
812	1074	247
813	1075	245
814	1077	244
815	1078	243
816	1079	241
817	1080	240
818	1081	238
819	1082	237
820	1083	236
821	1084	234
822	1085	233
823	1086	232
824	1088	230
825	1089	229
826	1090	228
827	1091	226
828	1092	225
829	1093	223
830	1094	222
831	1095	221
832	1096	219
833	1098	218
834	1099	217
835	1100	215
836	1101	214
837	1102	213
838	1103	211
839	1105	210
840	1106	209
841	1107	207
842	1108	206
843	1110	205
844	1111	203
845	1112	202
846	1113	201
847	1114	199
848	1116	198
849	1117	197
850	1118	195
851	1119	194
852	1120	193
853	1121	191
854	1122	190
855	1124	189
856	1125	187
857	1126	186
858	1127	185
859	1128	183
860	1129	182
861	1131	181
862	1132	179
863	1133	178
864	1134	177
865	1135	175
866	1136	174
867	1137	173
868	1139	171
869	1140	170
870	1141	169
871	1142	167
872	1143	166
873	1145	165
874	1146	163
875	1147	162
876	1148	161
877	1149	159
878	1150	158
879	1151	157
880	1152	155
881	1153	154
882	1154	153
883	1156	151
884	1157	150
885	1158	149
886	1159	147
887	1160	146
888	1161	145
889	1163	143
890	1164	142
891	1165	141
892	1166	139
893	1167	138
894	1168	137
895	1169	135
896	1170	134
897	1171	133
898	1173	131
899	1174	130
900	1175	129
901	1177	127
902	1178	126
903	1180	125
904	1181	123
905	1182	122
906	1183	121
907	1184	120
908	1185	118
909	1186	117
910	1188	116
911	1189	114
912	1190	113
913	1192	112
914	1193	110
915	1194	109
916	1195	108
917	1196	106
918	1198	105
919	1199	104
920	1200	102
921	1201	101
922	1203	100
923	1204	99
924	1206	97
925	1207	96
926	1208	95
927	1209	93
